Variable,Category,Yes%,N
Employment_Status,Retired,12.41,79872
Province,Beijing,12.33,30064
Province,Guangdong,12.33,30162
Income_Level,Middle,12.32,79320
Cholesterol_Level,High,12.3,79620
Obesity,Yes,12.27,71745
Region,Western,12.26,48100
Stress_Level,Low,12.26,80120
Rural_or_Urban,Urban,12.23,95759
Region,Eastern,12.23,47959
Previous_Heart_Attack,Yes,12.23,23960
Hospital_Availability,Medium,12.23,79829
Diet_Score,Poor,12.23,79656
Education_Level,Primary,12.22,59901
Province,Sichuan,12.21,29850
Physical_Activity,Low,12.21,80086
Education_Level,Higher,12.21,59942
Province,Shanghai,12.21,29932
Smoking_Status,Non-Smoker,12.2,119697
Gender,Female,12.19,119948
Region,Southern,12.19,47826
Hypertension,Yes,12.19,64709
TCM_Use,No,12.19,143949
Air_Pollution_Exposure,Medium,12.18,119593
Province,Shandong,12.18,30025
Diet_Score,Moderate,12.17,79954
Chronic_Kidney_Disease,No,12.17,203597
Cholesterol_Level,Normal,12.17,80091
Healthcare_Access,Poor,12.17,79912
Physical_Activity,High,12.17,79250
Alcohol_Consumption,Yes,12.17,72110
Stress_Level,Medium,12.16,79289
Diabetes,Yes,12.15,26472
Family_History_CVD,Yes,12.15,59526
Diabetes,No,12.15,212794
Healthcare_Access,Good,12.15,79643
Family_History_CVD,No,12.15,179740
Air_Pollution_Exposure,High,12.14,48019
Hypertension,No,12.14,174557
Previous_Heart_Attack,No,12.14,215306
Alcohol_Consumption,No,12.14,167156
Healthcare_Access,Moderate,12.13,79711
Hospital_Availability,High,12.13,79848
Employment_Status,Employed,12.12,79638
Gender,Male,12.11,119318
TCM_Use,Yes,12.1,95317
Smoking_Status,Smoker,12.1,119569
Air_Pollution_Exposure,Low,12.1,71654
Rural_or_Urban,Rural,12.1,143507
Obesity,No,12.1,167521
Hospital_Availability,Low,12.09,79589
Income_Level,High,12.08,80149
Physical_Activity,Medium,12.07,79930
Education_Level,Secondary,12.07,59806
Province,Qinghai,12.07,29917
Income_Level,Low,12.06,79797
Diet_Score,Healthy,12.05,79656
Chronic_Kidney_Disease,Yes,12.05,35669
Region,Central,12.05,47694
Stress_Level,High,12.03,79857
Region,Northern,12.02,47687
Cholesterol_Level,Low,11.98,79555
Province,Henan,11.96,29767
Employment_Status,Unemployed,11.93,79756
Province,Gansu,11.9,29549
