特征,类别,p值,效应量指标,效应量值,效应量强度,显著性,Bonferroni通过
Employment_Status,分类,0.012980634581052359,Cramer's V,0.006,极弱,*,No
Cholesterol_Level,分类,0.13522027646773738,Cramer's V,0.0041,极弱,ns,No
Income_Level,分类,0.2159000957421135,Cramer's V,0.0036,极弱,ns,No
CVD_Risk_Score,数值,0.2267482287578768,Cohen's d,-0.0076,可忽略,ns,No
Obesity,分类,0.2378668143026962,Cramer's V,0.0024,极弱,ns,No
Rural_or_Urban,分类,0.32722585232791107,Cramer's V,0.002,极弱,ns,No
Stress_Level,分类,0.35877678682167546,Cramer's V,0.0029,极弱,ns,No
Smoking_Status,分类,0.4973847228200189,Cramer's V,0.0014,极弱,ns,No
TCM_Use,分类,0.5178916085183202,Cramer's V,0.0013,极弱,ns,No
Chronic_Kidney_Disease,分类,0.5235114528342768,Cramer's V,0.0013,极弱,ns,No
Diet_Score,分类,0.5335048892839729,Cramer's V,0.0023,极弱,ns,No
Gender,分类,0.5337205391297336,Cramer's V,0.0013,极弱,ns,No
Age,数值,0.5550952119466674,Cohen's d,-0.0037,可忽略,ns,No
Hospital_Availability,分类,0.6536335178624001,Cramer's V,0.0019,极弱,ns,No
Province,分类,0.6619730210351218,Cramer's V,0.0046,极弱,ns,No
Physical_Activity,分类,0.668267182605414,Cramer's V,0.0018,极弱,ns,No
Education_Level,分类,0.6703209564030852,Cramer's V,0.0021,极弱,ns,No
Previous_Heart_Attack,分类,0.6868100613669863,Cramer's V,0.0008,极弱,ns,No
Region,分类,0.7090161905567697,Cramer's V,0.003,弱,ns,No
Region,分类,0.7090161905567697,Cramer's V,0.003,极弱,ns,No
Hypertension,分类,0.7214539330894574,Cramer's V,0.0007,极弱,ns,No
Blood_Pressure,数值,0.7924981437162598,Cohen's d,0.0016,可忽略,ns,No
Alcohol_Consumption,分类,0.8158176524672811,Cramer's V,0.0005,极弱,ns,No
Air_Pollution_Exposure,分类,0.8567675570546612,Cramer's V,0.0011,极弱,ns,No
Healthcare_Access,分类,0.9605562620883927,Cramer's V,0.0006,极弱,ns,No
Diabetes,分类,0.997899432319085,Cramer's V,0.0,极弱,ns,No
Family_History_CVD,分类,1.0,Cramer's V,0.0,极弱,ns,No
