study_uid,series_uid
1.3.6.1.4.1.14519.5.2.1.6279.6001.303241414168367763244410429787,1.3.6.1.4.1.14519.5.2.1.6279.6001.131939324905446238286154504249
1.3.6.1.4.1.14519.5.2.1.6279.6001.338445093314190310902086699869,1.3.6.1.4.1.14519.5.2.1.6279.6001.207201727479884428632451006739
1.3.6.1.4.1.14519.5.2.1.6279.6001.803342036141517365362713834879,1.3.6.1.4.1.14519.5.2.1.6279.6001.115689755198961598722158240121
1.3.6.1.4.1.14519.5.2.1.6279.6001.101370605276577556143013894866,1.3.6.1.4.1.14519.5.2.1.6279.6001.170706757615202213033480003264
1.3.6.1.4.1.14519.5.2.1.6279.6001.190188259083742759886805142125,1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225
1.3.6.1.4.1.14519.5.2.1.6279.6001.280315210397549164238230581781,1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680
1.3.6.1.4.1.14519.5.2.1.6279.6001.225213110794629789874295007045,1.3.6.1.4.1.14519.5.2.1.6279.6001.286061375572911414226912429210
1.3.6.1.4.1.14519.5.2.1.6279.6001.234120235997503955698755550667,1.3.6.1.4.1.14519.5.2.1.6279.6001.328789598898469177563438457842
1.3.6.1.4.1.14519.5.2.1.6279.6001.279133908903915300821612602665,1.3.6.1.4.1.14519.5.2.1.6279.6001.101228986346984399347858840086
1.3.6.1.4.1.14519.5.2.1.6279.6001.200080981983036698023153287807,1.3.6.1.4.1.14519.5.2.1.6279.6001.513023675145166449943177283490
1.3.6.1.4.1.14519.5.2.1.6279.6001.301893285809694674511225349300,1.3.6.1.4.1.14519.5.2.1.6279.6001.332829333783605240302521201463
1.3.6.1.4.1.14519.5.2.1.6279.6001.212292046142156223429795319169,1.3.6.1.4.1.14519.5.2.1.6279.6001.138813197521718693188313387015
1.3.6.1.4.1.14519.5.2.1.6279.6001.119160670718020063800771208605,1.3.6.1.4.1.14519.5.2.1.6279.6001.503980049263254396021509831276
1.3.6.1.4.1.14519.5.2.1.6279.6001.127418142282097214960207117703,1.3.6.1.4.1.14519.5.2.1.6279.6001.910435939545691201820711078950
1.3.6.1.4.1.14519.5.2.1.6279.6001.305234403531996676303325051420,1.3.6.1.4.1.14519.5.2.1.6279.6001.126631670596873065041988320084
1.3.6.1.4.1.14519.5.2.1.6279.6001.233265558039230075858412321938,1.3.6.1.4.1.14519.5.2.1.6279.6001.300136985030081433029390459071
1.3.6.1.4.1.14519.5.2.1.6279.6001.244560540649171231768816505483,1.3.6.1.4.1.14519.5.2.1.6279.6001.174449669706458092793093760291
1.3.6.1.4.1.14519.5.2.1.6279.6001.349215784927595126067491535375,1.3.6.1.4.1.14519.5.2.1.6279.6001.161067514225109999586362698069
1.3.6.1.4.1.14519.5.2.1.6279.6001.389796291341364059012825103262,1.3.6.1.4.1.14519.5.2.1.6279.6001.252634638822000832774167856951
1.3.6.1.4.1.14519.5.2.1.6279.6001.247360966390848191713625967090,1.3.6.1.4.1.14519.5.2.1.6279.6001.128023902651233986592378348912
1.3.6.1.4.1.14519.5.2.1.6279.6001.185496461202477950899792771158,1.3.6.1.4.1.14519.5.2.1.6279.6001.228511122591230092662900221600
1.3.6.1.4.1.14519.5.2.1.6279.6001.124918015490899130716961145499,1.3.6.1.4.1.14519.5.2.1.6279.6001.153985109349433321657655488650
1.3.6.1.4.1.14519.5.2.1.6279.6001.669072071991651987864331187685,1.3.6.1.4.1.14519.5.2.1.6279.6001.479402560265137632920333093071
1.3.6.1.4.1.14519.5.2.1.6279.6001.155557195003938299459901738073,1.3.6.1.4.1.14519.5.2.1.6279.6001.613212850444255764524630781782
1.3.6.1.4.1.14519.5.2.1.6279.6001.198480745206106280149820227940,1.3.6.1.4.1.14519.5.2.1.6279.6001.288701997968615460794642979503
1.3.6.1.4.1.14519.5.2.1.6279.6001.103314508209751760357909975504,1.3.6.1.4.1.14519.5.2.1.6279.6001.146987333806092287055399155268
1.3.6.1.4.1.14519.5.2.1.6279.6001.234289514191030145998276287188,1.3.6.1.4.1.14519.5.2.1.6279.6001.137773550852881583165286615668
1.3.6.1.4.1.14519.5.2.1.6279.6001.282376078213521832826757169162,1.3.6.1.4.1.14519.5.2.1.6279.6001.461155505515403114280165935891
1.3.6.1.4.1.14519.5.2.1.6279.6001.217795632219483181846615097960,1.3.6.1.4.1.14519.5.2.1.6279.6001.286524966129599998397777745271
1.3.6.1.4.1.14519.5.2.1.6279.6001.211053720209798423692283723094,1.3.6.1.4.1.14519.5.2.1.6279.6001.251215764736737018371915284679
1.3.6.1.4.1.14519.5.2.1.6279.6001.313935464622070730633776692194,1.3.6.1.4.1.14519.5.2.1.6279.6001.336225579776978874775723463327
1.3.6.1.4.1.14519.5.2.1.6279.6001.270093416536223137275197282336,1.3.6.1.4.1.14519.5.2.1.6279.6001.129982010889624423230394257528
1.3.6.1.4.1.14519.5.2.1.6279.6001.121477207174726219407790693667,1.3.6.1.4.1.14519.5.2.1.6279.6001.112767175295249119452142211437
1.3.6.1.4.1.14519.5.2.1.6279.6001.276357014804464864262939025676,1.3.6.1.4.1.14519.5.2.1.6279.6001.241717018262666382493757419144
